name,County,pop_range,impact_score,access_tier,dist_to_finance_km,Town_Latitude,Town_Longitude,walking_hours
Nachukui,Turkana,500 - 10k people,217.0,Tier 4: Critical Desert (>10km),108.40948740358968,4.0649041812260585,35.88351380496051,21.7
Spanish Mission,Turkana,500 - 10k people,227.0,Tier 4: Critical Desert (>10km),113.66632719186089,4.122241081010556,35.854987405006305,22.7
Nariokotome,Turkana,50 - 500 people,22.8,Tier 4: Critical Desert (>10km),114.19327048733486,4.12647878099818,35.857605005009326,22.8
Riokomor,Turkana,500 - 10k people,209.0,Tier 4: Critical Desert (>10km),104.55973525954134,4.111656780942862,35.71746630500864,20.9
Nairobi,Nairobi,100k - 5M+ people,0.0,Tier 1: High Access (0-2km),0.2144640995132477,-1.2890006033350336,36.817281201063814,0.0
Tarbaj,Wajir,500 - 10k people,102.0,Tier 4: Critical Desert (>10km),50.909235780247755,2.208360990304459,40.118038002971815,10.2
Longopito,Isiolo,500 - 10k people,103.0,Tier 4: Critical Desert (>10km),51.62505351051095,0.6983012921897195,37.15762140234842,10.3
Kabetwa,Elgeyo-Marakwet,500 - 10k people,102.0,Tier 4: Critical Desert (>10km),50.87418306334993,1.149999989922044,35.63330000287888,10.2
Chepkum,Elgeyo-Marakwet,500 - 10k people,73.0,Tier 4: Critical Desert (>10km),36.66553550605849,0.9832999903605091,35.616600002766916,7.3
Kalokodo,Turkana,500 - 10k people,207.0,Tier 4: Critical Desert (>10km),103.40278557298,4.024134781347353,35.86206650493123,20.7
Ikuywa,Nandi,500 - 10k people,38.0,Tier 4: Critical Desert (>10km),18.92320764959169,0.20867399191976138,34.94131450233749,3.8
Mukhonje,Kakamega,500 - 10k people,8.0,Tier 2: Moderate Access (2-5km),3.958935195122447,0.24685979168703587,34.73529370238912,0.8
,Samburu,50 - 500 people,6.8,Tier 4: Critical Desert (>10km),34.00193036501692,0.7769658925290186,37.914073502280516,6.8
Quli,Wajir,50 - 500 people,9.5,Tier 4: Critical Desert (>10km),47.74102814533518,0.9925678935283218,40.005226602054606,9.5
Shisango,Kakamega,500 - 10k people,26.0,Tier 4: Critical Desert (>10km),12.77889886079007,0.1889146917518508,34.61083480236734,2.6
Merueshi,Kajiado,500 - 10k people,64.0,Tier 4: Critical Desert (>10km),32.01386032020622,-2.3738036006543783,37.545751400220986,6.4
Nyatieko,Kisii,500 - 10k people,9.0,Tier 2: Moderate Access (2-5km),4.314601013793234,-0.6401547061105618,34.7954623018118,0.9
Bananey,Wajir,50 - 500 people,7.1,Tier 4: Critical Desert (>10km),35.50820053749328,1.3519723923994977,39.76566610237362,7.1
Hadado,Isiolo,500 - 10k people,104.0,Tier 4: Critical Desert (>10km),52.159495635807275,1.5294594916594553,39.425500102571505,10.4
Chemuche,Kakamega,500 - 10k people,43.0,Tier 4: Critical Desert (>10km),21.348453846025762,0.47111949123021263,34.91188080251352,4.3
Shivanga,Kakamega,500 - 10k people,23.0,Tier 4: Critical Desert (>10km),11.431682644499782,0.5316107910298639,34.84633400256161,2.3
Bondeni,Kakamega,500 - 10k people,33.0,Tier 4: Critical Desert (>10km),16.412244958936277,0.8310551904195503,35.10861110272809,3.3
Munoywa,Kakamega,500 - 10k people,36.0,Tier 4: Critical Desert (>10km),18.157098148903984,0.8156831904650028,35.11545930271695,3.6
Vuyika,Kakamega,500 - 10k people,15.0,Tier 3: Underserved (5-10km),7.744964878136571,0.5361862909805312,34.79016850257161,1.5
Asembo,Siaya,500 - 10k people,31.0,Tier 4: Critical Desert (>10km),15.453708717174484,-0.18334100746843854,34.38571050215738,3.1
Boransis,Garissa,50 - 500 people,11.5,Tier 4: Critical Desert (>10km),57.553350260146736,0.2924485951651804,39.84668790156493,11.5
Thangata,Kitui,500 - 10k people,126.0,Tier 4: Critical Desert (>10km),63.21335861006884,-0.20000000476752633,38.31660000151668,12.6
Bar Olengo,Siaya,500 - 10k people,23.0,Tier 4: Critical Desert (>10km),11.692838876389635,-8.041292264230111e-09,34.2000000022975,2.3
Dambala Fullchana,Marsabit,500 - 10k people,67.0,Tier 4: Critical Desert (>10km),33.58226780276001,3.5054226852891412,38.75101580421794,6.7
Yaa Algana,Marsabit,500 - 10k people,339.0,Tier 4: Critical Desert (>10km),169.5408430528566,3.681272183556115,37.266975004537215,33.9
Old Yaa Sharbana,Marsabit,500 - 10k people,290.0,Tier 4: Critical Desert (>10km),145.13925621165828,3.515867984216591,37.42775360439112,29.0
Yaa Sharbana,Marsabit,500 - 10k people,287.0,Tier 4: Critical Desert (>10km),143.45800202375128,3.514342484246807,37.460459804386225,28.7
Olla Golo Adi,Marsabit,500 - 10k people,250.0,Tier 4: Critical Desert (>10km),125.1146730544667,3.4212992847219406,37.6885579042873,25.0
,Kisumu,500 - 10k people,28.0,Tier 4: Critical Desert (>10km),13.936889348155825,-0.2705825068758106,34.972149202022514,2.8
Kipsoit Center,Baringo,500 - 10k people,22.0,Tier 4: Critical Desert (>10km),11.109173019185835,0.5149862916105157,35.64424430244604,2.2
Kaptara Center,Baringo,500 - 10k people,24.0,Tier 4: Critical Desert (>10km),12.106346324482304,0.5496268915241953,35.64873860246871,2.4
Sachangwan Center,Baringo,500 - 10k people,21.0,Tier 4: Critical Desert (>10km),10.673333800611593,0.5549544915238179,35.66838970246961,2.1
Chesongo Center,Baringo,500 - 10k people,19.0,Tier 3: Underserved (5-10km),9.34946610343476,0.5475716915492737,35.67774600246336,1.9
Bilif,Garissa,50 - 500 people,10.3,Tier 4: Critical Desert (>10km),51.52400906567661,-0.006376804116329867,39.84907580134577,10.3
Gurow,Garissa,50 - 500 people,7.2,Tier 4: Critical Desert (>10km),35.80107683067735,0.027902695904768703,39.9873699013413,7.2
Faf kalala,Garissa,50 - 500 people,12.9,Tier 4: Critical Desert (>10km),64.45120070179122,0.16812929538620697,39.73932390149611,12.9
Qabobey,Garissa,50 - 500 people,8.6,Tier 4: Critical Desert (>10km),43.140188855964105,0.11473869565147678,39.92445720141822,8.6
Ol Oibor Soit,Kajiado,500 - 10k people,55.0,Tier 4: Critical Desert (>10km),27.323132899482818,-3.169772099054978,37.77656429966917,5.5
Matepes,Kajiado,500 - 10k people,61.0,Tier 4: Critical Desert (>10km),30.347539444625372,-3.0961923992163354,37.72452929972679,6.1
Meri,Wajir,500 - 10k people,140.0,Tier 4: Critical Desert (>10km),69.83874281055643,0.4929274946724843,39.84582530171305,14.0
,Wajir,500 - 10k people,123.0,Tier 4: Critical Desert (>10km),61.62168079767213,0.45364739482448474,39.91904260166893,12.3
Gedilun,Garissa,50 - 500 people,15.2,Tier 4: Critical Desert (>10km),76.09348533918815,-1.3835827004550627,40.71334760015897,15.2
Kifaru,Garissa,50 - 500 people,14.9,Tier 4: Critical Desert (>10km),74.69148941558872,-1.261596600738075,40.66813940025647,14.9
,Garissa,50 - 500 people,15.1,Tier 4: Critical Desert (>10km),75.52204098242578,-1.189386500904613,40.64503010031337,15.1
Kotile,Garissa,500 - 10k people,71.0,Tier 4: Critical Desert (>10km),35.59687426691642,-1.9638241996603198,40.20746129988009,7.1
Tin'Gwangi,Siaya,500 - 10k people,18.0,Tier 3: Underserved (5-10km),8.844514993811366,-0.023699407928321106,34.283599302272,1.8
Gori,Siaya,500 - 10k people,19.0,Tier 3: Underserved (5-10km),9.34474727977784,-0.028205507898814354,34.31192340226557,1.9
Kwa Mutinda,Kitui,Rural Settlement,13.2,Tier 4: Critical Desert (>10km),66.09226736787062,-0.3169074045471437,38.240256101449795,13.2
Wakuo II,Kitui,Rural Settlement,12.8,Tier 4: Critical Desert (>10km),63.89938279549474,-0.3169027045610494,38.22054210145358,12.8
Kwa Mukora,Kitui,Rural Settlement,12.8,Tier 4: Critical Desert (>10km),63.76699675866469,-0.3178565045596369,38.219379401453125,12.8
Freds Estate,Meru,Rural Settlement,0.3,Tier 1: High Access (0-2km),1.519148587055725,0.09640239405497762,37.656855901844466,0.3
Jebilat,Bomet,10k - 100k people,40.0,Tier 2: Moderate Access (2-5km),2.093410766549187,-0.6922421058106891,35.072669501738325,0.4
Badana,Isiolo,500 - 10k people,116.0,Tier 4: Critical Desert (>10km),57.8932059712261,1.1132200924388078,38.982580002339006,11.6
Wang'tong,Siaya,500 - 10k people,12.0,Tier 3: Underserved (5-10km),6.248269595420064,0.1913351916223641,34.422327902392524,1.2
Lumbwa,Kericho,500 - 10k people,19.0,Tier 3: Underserved (5-10km),9.391738862737993,-0.18839070671867972,35.513515601998165,1.9
Softu,Other / Border,10k - 100k people,70.0,Tier 2: Moderate Access (2-5km),3.4835711180987543,3.9710674863693693,41.85544790411586,0.7
Labo,Garissa,50 - 500 people,7.5,Tier 4: Critical Desert (>10km),37.36574645732702,-0.20493690363601436,39.869683701197275,7.5
Bahuri,Garissa,500 - 10k people,130.0,Tier 4: Critical Desert (>10km),65.0260714067485,0.1329361954229748,39.67466000148385,13.0
Chepelat,Bomet,500 - 10k people,4.0,Tier 1: High Access (0-2km),1.93959584534494,-0.6961753058008248,35.07377940173566,0.4
Birongo,Kisii,500 - 10k people,10.0,Tier 2: Moderate Access (2-5km),4.819772848587885,-0.7482869057996545,34.88753000173012,1.0
,Turkana,500 - 10k people,4.0,Tier 1: High Access (0-2km),1.8733720858778795,3.1376069840396026,35.5861429042937,0.4
,Turkana,50 - 500 people,9.7,Tier 4: Critical Desert (>10km),48.63088265072089,3.138773484367593,36.03691000425219,9.7
Matungu,Kakamega,10k - 100k people,130.0,Tier 3: Underserved (5-10km),6.571668486001868,0.3935664911397091,34.47344440251711,1.3
,Other / Border,50 - 500 people,15.4,Tier 4: Critical Desert (>10km),76.9590156424981,0.006520496711116586,40.99728320110105,15.4
North Horr,Marsabit,500 - 10k people,300.0,Tier 4: Critical Desert (>10km),149.79609980736754,3.321681984564143,37.07062400428185,30.0
ichinga,Kakamega,500 - 10k people,4.0,Tier 1: High Access (0-2km),1.8435341299551877,0.33667769130670044,34.50526550247629,0.4
Imanga,Kakamega,500 - 10k people,13.0,Tier 3: Underserved (5-10km),6.746846557734791,0.2786815914269527,34.462722302443936,1.3
Matete,Kakamega,500 - 10k people,11.0,Tier 3: Underserved (5-10km),5.724497803513022,0.562480490921256,34.80387010258723,1.1
Ifo Refugee Camp,Garissa,10k - 100k people,130.0,Tier 3: Underserved (5-10km),6.320810087738312,0.11332429594636871,40.315710301333134,1.3
Dadaab,Garissa,10k - 100k people,10.0,Tier 1: High Access (0-2km),0.46015625527102105,0.052555096084577924,40.30764000129008,0.1
Mudete,Vihiga,500 - 10k people,8.0,Tier 2: Moderate Access (2-5km),4.171620857406769,0.11699569203761065,34.7703801023002,0.8
Lower Kanyotu,Nakuru,500 - 10k people,31.0,Tier 4: Critical Desert (>10km),15.57376717902321,0.1350096929921804,36.26208410210049,3.1
Mericho,Nakuru,500 - 10k people,28.0,Tier 4: Critical Desert (>10km),13.787273083251733,0.1302848930161877,36.28009420209454,2.8
,Baringo,50 - 500 people,0.3,Tier 1: High Access (0-2km),1.3853681246099698,0.4701163919464016,35.967438202370445,0.3
Lomut,West Pokot,500 - 10k people,84.0,Tier 4: Critical Desert (>10km),41.8459628772266,1.4005649891885867,35.56827400305955,8.4
Lotongot,West Pokot,500 - 10k people,134.0,Tier 4: Critical Desert (>10km),66.97502126622824,1.7332999882984839,35.633300003283274,13.4
,Baringo,500 - 10k people,63.0,Tier 4: Critical Desert (>10km),31.49030552127678,0.754435991208036,35.965058302564074,6.3
Chebukwa,Bungoma,500 - 10k people,7.0,Tier 2: Moderate Access (2-5km),3.5193669466663122,0.6266028906043826,34.57965960265658,0.7
,Bungoma,< 50 people,0.02,Tier 1: High Access (0-2km),1.0749442960414557,0.6516148905402945,34.58205170267273,0.2
,Bungoma,< 50 people,0.03,Tier 1: High Access (0-2km),1.356045903001323,0.6519662905374046,34.57909560267331,0.3
Mpagas,Samburu,50 - 500 people,19.5,Tier 4: Critical Desert (>10km),97.633099665689,1.649082389795888,37.38300750299396,19.5
Kambiri,Kakamega,500 - 10k people,40.0,Tier 4: Critical Desert (>10km),20.084865301973355,0.37336729148101716,34.91104810244933,4.0
Chemuswa,Nandi,500 - 10k people,50.0,Tier 4: Critical Desert (>10km),25.19695922959548,0.3499999916777304,35.1166000024072,5.0
Lusumu,Kakamega,500 - 10k people,30.0,Tier 4: Critical Desert (>10km),14.879212584526556,0.366119991324238,34.64641960247802,3.0
Eshisiru,Kakamega,500 - 10k people,17.0,Tier 3: Underserved (5-10km),8.506701314950986,0.2806208915618588,34.67552420241867,1.7
Bumini,Kakamega,500 - 10k people,22.0,Tier 4: Critical Desert (>10km),11.234491585929849,0.33147829137527574,34.58929260246256,2.2
Emasatsi,Kakamega,500 - 10k people,19.0,Tier 3: Underserved (5-10km),9.590249594169906,0.15143799187446536,34.65368000233761,1.9
Khwisero,Kakamega,10k - 100k people,210.0,Tier 4: Critical Desert (>10km),10.411559331012926,0.17120649178579203,34.594417502357956,2.1
Simat,Uasin Gishu,50 - 500 people,2.1,Tier 4: Critical Desert (>10km),10.44079238946226,0.5127709912969487,35.17223670250765,2.1
Mung'ao,Siaya,500 - 10k people,7.0,Tier 2: Moderate Access (2-5km),3.727704918794129,0.18124649160696102,34.359585402393776,0.7
Bungasi,Siaya,500 - 10k people,10.0,Tier 3: Underserved (5-10km),5.1998709502207054,0.20101129156595812,34.37343580240478,1.0
Ng'iya,Siaya,500 - 10k people,19.0,Tier 3: Underserved (5-10km),9.602434839648513,0.04561319195523955,34.37063720230535,1.9
Ujimbe,Siaya,500 - 10k people,8.0,Tier 2: Moderate Access (2-5km),4.006672838050505,0.12036069176630547,34.36837690235357,0.8
Tula,Siaya,500 - 10k people,19.0,Tier 3: Underserved (5-10km),9.44903588862615,0.06984449189417503,34.36998260232097,1.9
Kiminini,Trans Nzoia,500 - 10k people,20.0,Tier 3: Underserved (5-10km),9.772747975083314,0.8925929901312846,34.92515000279162,2.0
Iten,Elgeyo-Marakwet,10k - 100k people,10.0,Tier 1: High Access (0-2km),0.3655894712120844,0.6730701911089815,35.51026330257049,0.1
Vihiga,Kakamega,500 - 10k people,42.0,Tier 4: Critical Desert (>10km),21.06609729665859,0.29152259171156103,34.9437775023914,4.2
