name,County,Town_Latitude,Town_Longitude,impact_score,Assigned_Hub_Rank,Assigned_Hub_Name
Gatab,Marsabit,2.644553586562462,36.93124830378739,245.0,1,Loiyangalani
Elelekerio Lowue,Turkana,2.8291679854602787,36.206915304006316,150.0,1,Loiyangalani
Nakuriot,Turkana,2.8758890852823793,36.16160590404548,136.0,1,Loiyangalani
Olturot,Marsabit,2.595136386823402,37.080437503732234,210.0,1,Loiyangalani
Arapal,Marsabit,2.7865773861879317,37.00872670388416,240.0,1,Loiyangalani
Nakalei,Turkana,2.5384340863600583,36.223385103791486,189.0,1,Loiyangalani
Gas,Marsabit,3.064408085190881,36.826348404114,273.0,1,Loiyangalani
Loiyangalani,Marsabit,2.757679686059353,36.71865800389673,2610.0,1,Loiyangalani
Kang'irisai,Turkana,2.6156287861517886,36.25817180384402,184.0,1,Loiyangalani
Kutulo,Wajir,2.407899190111353,40.5948212030432,1850.0,2,Kutulo
Wargadud,Wajir,2.3102605902065094,40.36219430300809,1390.0,2,Kutulo
Bojigaras,Wajir,2.6615211893145725,40.52798680325949,225.0,2,Kutulo
Ausmudule,Wajir,2.262483490481376,40.5338581029383,152.0,2,Kutulo
,Mandera,2.3694743904764577,40.90883730295318,230.0,2,Kutulo
Qarsa,Wajir,2.0781887911767605,40.74778590275085,165.0,2,Kutulo
Boji Garse,Mandera,2.6838782892520094,40.53247930327673,230.0,2,Kutulo
Qajaja 2,Wajir,1.9983142910849134,40.35091270276336,82.0,2,Kutulo
Khorof Harar,Wajir,2.202026690830941,40.753961702848414,1800.0,2,Kutulo
Kotulo,Mandera,2.4456141900467347,40.65033420306319,2000.0,2,Kutulo
El-Ram,Mandera,2.331579890570978,40.89092020292609,222.0,2,Kutulo
Konton Village,Wajir,2.0179098914737437,40.90683760267182,193.0,2,Kutulo
,Samburu,1.7822505890032554,36.81143460317052,153.0,3,Baragoi
Arsim,Samburu,1.7782000893025474,37.20532370311346,188.0,3,Baragoi
Waso Rongai,Samburu,2.038509488304467,36.859774603349955,211.0,3,Baragoi
South Horr,Marsabit,2.0989829881738196,36.920642003386156,227.0,3,Baragoi
Kamuge,Turkana,1.671510588937526,36.28610810316007,157.0,3,Baragoi
Baragoi,Samburu,1.7832999889798353,36.78330000317506,1530.0,3,Baragoi
Suiyan,Samburu,1.4473688899661954,36.847331202925155,84.0,3,Baragoi
Marti,Samburu,1.4751348897998233,36.722872002962305,84.0,3,Baragoi
Tuum,Samburu,2.1464761879286423,36.775262103439594,233.0,3,Baragoi
Hubsoy,Wajir,1.3924700926709146,40.256659802309876,87.0,4,Ibrahim Ure
Abaqdere,Wajir,1.3262324928957412,40.31891130224662,107.0,4,Ibrahim Ure
Bojigaras,Wajir,1.7243082921365205,40.71873040247669,142.0,4,Ibrahim Ure
Ibrahim Ure,Wajir,1.5793253924477333,40.61329800238411,1240.0,4,Ibrahim Ure
Akal Arr,Wajir,1.7099616922534235,40.81656260244587,164.0,4,Ibrahim Ure
Alio Ismail,Wajir,1.3132914933060518,40.800310302139025,186.0,4,Ibrahim Ure
Burder,Wajir,1.1696309934550921,40.50774990208818,159.0,4,Ibrahim Ure
Abageranso,Wajir,1.7733392916663968,40.29431430259778,470.0,4,Ibrahim Ure
Ambala,Wajir,1.2118441936556148,40.90606310203824,218.0,4,Ibrahim Ure
Ahmad Magan,Wajir,1.0383885940649222,40.853718701915206,232.0,4,Ibrahim Ure
Dagane Wallow / Nooleye,Wajir,1.4739393924467865,40.24931460237412,71.0,4,Ibrahim Ure
Welgares,Wajir,1.2554023931301115,40.37932990218009,127.0,4,Ibrahim Ure
Alioismail,Wajir,1.209153793566734,40.783620102061754,196.0,4,Ibrahim Ure
Gerille,Wajir,1.6927850923907424,40.93031150240941,189.0,4,Ibrahim Ure
Argane,Wajir,1.6672351920114836,40.36271850250191,65.0,4,Ibrahim Ure
,Wajir,1.4040362927098402,40.346331102301114,96.0,4,Ibrahim Ure
Abaqdere,Wajir,1.3416510928176117,40.27111600226793,99.0,4,Ibrahim Ure
Riba,Wajir,1.8746896916510236,40.62918150261268,125.0,4,Ibrahim Ure
Wajir Bor,Wajir,1.7445196919346617,40.533809602528976,100.0,4,Ibrahim Ure
Dif,Wajir,0.9948289942618451,40.9626920018584,254.0,4,Ibrahim Ure
Burder,Wajir,1.1866410933709337,40.45670100211166,149.0,4,Ibrahim Ure
Makutano,Turkana,3.514633782561518,35.22282300460068,89.0,5,Kalokol
Kanukurudio,Turkana,3.792588481826011,35.466339504787655,134.0,5,Kalokol
Losajait,Turkana,3.6266935822582083,35.309459104676534,99.0,5,Kalokol
Nadato,Turkana,3.0849152845777814,36.091401504206964,110.0,5,Kalokol
,Turkana,3.7798415821456275,35.838779404748536,154.0,5,Kalokol
Nadwat,Turkana,3.5145227825394496,35.192158504602965,83.0,5,Kalokol
Nasechabuin,Turkana,3.7256527823140733,35.82450400470899,141.0,5,Kalokol
Eliye Springs,Turkana,3.2374362840441684,36.02281610432672,97.0,5,Kalokol
Lolupe,Turkana,3.5412484824918202,35.24630560461842,91.0,5,Kalokol
Katiko,Turkana,3.7955266820933273,35.83832970476038,157.0,5,Kalokol
Lokitoeang'aberu,Turkana,3.674632682484325,35.827489704670484,131.0,5,Kalokol
Kerio,Turkana,3.0027473848108066,36.057789204149614,105.0,5,Kalokol
Kalokol,Turkana,3.5327416829704443,35.857023404561794,1060.0,5,Kalokol
Moite,Marsabit,3.3137047839694276,36.249239404361695,150.0,5,Kalokol
Kataboi,Turkana,3.754480182223306,35.83044920473016,148.0,5,Kalokol
Kangatosa,Turkana,3.1300599843412327,35.96400240425284,81.0,5,Kalokol
,Turkana,3.5446776829500704,35.88186630456853,112.0,5,Kalokol
,Turkana,3.5621467824387145,35.2670746046322,94.0,5,Kalokol
Namoruputh,Turkana,2.8375586845824734,35.03448540412549,140.0,6,Lorugum
Karamoja Hunting Area,Other / Border,2.506379585511947,34.90986160390143,204.0,6,Lorugum
Forest Reserve,Other / Border,2.618148785109357,34.82287580398806,205.0,6,Lorugum
Lorugumu,Turkana,2.883299984594811,35.25000000413929,93.0,6,Lorugum
Naipa,Turkana,2.518027785807125,35.374356803865766,142.0,6,Lorugum
Kosipirr,Turkana,2.8429710845711034,35.042127704128696,138.0,6,Lorugum
